genus,MEY11_0,MEY11_1,MEY11_2,MEY11_3,MEY11_4,MEY11_5,MEY11_6,MEY11_7,MEY11_8,MEY11_9,MEY4_0,MEY4_1,MEY4_2,MEY4_3,MEY4_4,MEY4_5,MEY4_6,MEY4_7,MEY4_8,MEY4_9,MEY7_0,MEY7_1,MEY7_2,MEY7_3,MEY7_4,MEY7_5,MEY7_6,MEY7_7,MEY7_8,MEY7_8_control,MEY7_9,MEY8_0,MEY8_1,MEY8_2,MEY8_3,MEY8_4,MEY8_5,MEY8_6,MEY8_7,MEY8_8,MEY8_9,total,superkingdom,kingdom,phylum,class,order,family,tax
Blautia,17120.0,16920.0,17212.0,19255.0,22599,8761.0,13229.0,11570.0,13942.0,19697.0,704,1170.0,2213.0,1096.0,1829.0,1498.0,1835,1672,1877.0,2331.0,1424.0,1954.0,1851.0,2096.0,1783.0,1553,1987.0,2585.0,2498.0,6762.0,1573.0,2549.0,3358.0,2644.0,2580.0,15723.0,5240.0,10174.0,7428.0,13128.0,14721.0,280141.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia
Fusimonas,11442.0,7035.0,2748.0,15970.0,6686,5241.0,7066.0,13169.0,23383.0,7673.0,370,1558.0,722.0,324.0,531.0,464.0,1125,963,488.0,1074.0,241.0,697.0,1888.0,714.0,1112.0,964,1452.0,2079.0,1477.0,4052.0,979.0,300.0,334.0,764.0,751.0,2046.0,1372.0,1231.0,22313.0,33159.0,23638.0,209595.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Fusimonas
Lachnoclostridium,12225.0,8390.0,9725.0,11308.0,12027,5681.0,10174.0,8515.0,9499.0,12574.0,917,1710.0,4315.0,1745.0,2126.0,1220.0,1482,1536,1323.0,1300.0,1146.0,1449.0,1773.0,2522.0,2042.0,1806,1930.0,2739.0,2461.0,6397.0,1701.0,1005.0,1530.0,2169.0,1999.0,7477.0,5199.0,12159.0,8991.0,8357.0,12813.0,205457.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium
Duncaniella,8373.0,3425.0,14472.0,9593.0,16758,12123.0,6025.0,7359.0,2712.0,5658.0,2977,482.0,731.0,589.0,454.0,470.0,429,643,2141.0,349.0,1810.0,435.0,281.0,612.0,479.0,593,223.0,1241.0,360.0,955.0,772.0,1303.0,193.0,721.0,894.0,5573.0,1581.0,5673.0,5374.0,3883.0,7647.0,136366.0,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella
Ligilactobacillus,6634.0,15423.0,3362.0,9713.0,3685,23430.0,6525.0,6325.0,6476.0,13659.0,215,481.0,544.0,75.0,113.0,81.0,335,142,170.0,30.0,260.0,323.0,143.0,1407.0,850.0,1305,456.0,3982.0,217.0,671.0,1740.0,889.0,245.0,637.0,1042.0,3533.0,2671.0,3228.0,2859.0,3256.0,5519.0,132651.0,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus
Schaedlerella,2565.0,2510.0,3283.0,3800.0,4101,2310.0,9677.0,5962.0,3977.0,8043.0,336,328.0,1079.0,506.0,727.0,506.0,768,981,794.0,1122.0,506.0,1218.0,1612.0,1811.0,1226.0,1628,1258.0,1643.0,1367.0,3810.0,1048.0,987.0,1563.0,4523.0,1525.0,1153.0,4945.0,12399.0,12060.0,7086.0,9834.0,126577.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Schaedlerella
Acetatifactor,7714.0,4847.0,2334.0,3097.0,5162,4893.0,7584.0,6706.0,7763.0,10809.0,98,769.0,1816.0,1019.0,811.0,585.0,796,789,715.0,1066.0,990.0,1209.0,951.0,1259.0,1072.0,998,1324.0,1715.0,1696.0,4277.0,972.0,864.0,1341.0,1520.0,1620.0,6359.0,3235.0,4314.0,2645.0,4545.0,2887.0,115166.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Acetatifactor
Eisenbergiella,4354.0,4822.0,4434.0,4018.0,4006,2490.0,2611.0,6342.0,5198.0,9690.0,319,820.0,1323.0,716.0,409.0,592.0,759,637,517.0,745.0,722.0,568.0,497.0,1137.0,590.0,636,694.0,1055.0,966.0,2307.0,1172.0,826.0,744.0,926.0,775.0,5735.0,1897.0,2196.0,1349.0,5124.0,6093.0,90811.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella
Marvinbryantia,5704.0,3295.0,3981.0,4225.0,6313,2645.0,3129.0,4151.0,3842.0,7518.0,784,458.0,1192.0,451.0,563.0,294.0,347,358,405.0,507.0,513.0,685.0,974.0,642.0,363.0,539,644.0,928.0,1065.0,2651.0,482.0,657.0,568.0,1173.0,664.0,3812.0,2471.0,2967.0,1782.0,1761.0,2471.0,77974.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Marvinbryantia
Mediterraneibacter,3568.0,2702.0,4976.0,4933.0,3657,1637.0,2736.0,2508.0,2536.0,3852.0,292,493.0,1033.0,507.0,705.0,467.0,619,757,634.0,797.0,243.0,408.0,500.0,782.0,528.0,534,553.0,970.0,784.0,1956.0,571.0,619.0,730.0,1150.0,768.0,3461.0,2279.0,3723.0,3291.0,3544.0,5150.0,71953.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter
