species,MEY11_0,MEY11_1,MEY11_2,MEY11_3,MEY11_4,MEY11_5,MEY11_6,MEY11_7,MEY11_8,MEY11_9,MEY4_0,MEY4_1,MEY4_2,MEY4_3,MEY4_4,MEY4_5,MEY4_6,MEY4_7,MEY4_8,MEY4_9,MEY7_0,MEY7_1,MEY7_2,MEY7_3,MEY7_4,MEY7_5,MEY7_6,MEY7_7,MEY7_8,MEY7_8_control,MEY7_9,MEY8_0,MEY8_1,MEY8_2,MEY8_3,MEY8_4,MEY8_5,MEY8_6,MEY8_7,MEY8_8,MEY8_9,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Fusimonas intestini,11442,7035,2748,15970,6686,5241,7066,13169,23383,7673,370,1558,722,324,531,464,1125,963,488,1074,241,697,1888,714,1112,964,1452,2079,1477,4052,979,300,334,764,751,2046,1372,1231,22313,33159,23638,209595,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Fusimonas,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Fusimonas;Fusimonas intestini
Schaedlerella arabinosiphila,2565,2510,3283,3800,4101,2310,9677,5962,3977,8043,336,328,1079,506,727,506,768,981,794,1122,506,1218,1612,1811,1226,1628,1258,1643,1367,3810,1048,987,1563,4523,1525,1153,4945,12399,12060,7086,9834,126577,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Schaedlerella,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Schaedlerella;Schaedlerella arabinosiphila
Blautia argi,7983,7277,6452,7111,8184,3620,6359,5143,5866,8647,361,539,1042,528,893,735,896,894,953,1180,634,795,776,835,740,699,850,1114,1111,3025,657,1019,1563,1296,1046,6125,2297,4584,2681,4852,5248,116610,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia argi
Acetatifactor muris,7714,4847,2334,3097,5162,4893,7584,6706,7763,10809,98,769,1816,1019,811,585,796,789,715,1066,990,1209,951,1259,1072,998,1324,1715,1696,4277,972,864,1341,1520,1620,6359,3235,4314,2645,4545,2887,115166,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Acetatifactor,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Acetatifactor;Acetatifactor muris
Ligilactobacillus murinus,4273,10145,2232,6518,2450,15295,4338,4289,4286,8995,164,371,377,63,70,59,238,102,137,19,152,235,89,921,570,872,314,2673,134,450,1133,592,164,421,695,2398,1783,2084,1829,2132,3549,87611,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus;Ligilactobacillus murinus
Marvinbryantia formatexigens,5704,3295,3981,4225,6313,2645,3129,4151,3842,7518,784,458,1192,451,563,294,347,358,405,507,513,685,974,642,363,539,644,928,1065,2651,482,657,568,1173,664,3812,2471,2967,1782,1761,2471,77974,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens
Duncaniella dubosii,4581,1696,6931,5063,8548,6436,3205,4189,1321,3052,2005,241,388,349,248,241,268,384,1242,193,1110,268,179,409,302,365,151,813,228,635,463,789,128,435,486,3548,975,3213,2946,2211,4512,74747,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii
Eisenbergiella tayi,3660,4555,4067,3054,3151,2062,1781,2797,2239,3096,122,688,975,350,373,511,594,378,334,422,317,318,361,979,313,470,500,900,737,1754,1054,724,657,880,599,5149,1727,1725,1093,4856,5739,66061,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Eisenbergiella,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi
Waltera intestinalis,9284,2529,2029,3226,3180,4085,4148,2470,3476,3652,49,206,305,149,158,111,203,204,159,230,137,207,171,303,172,235,292,429,352,1035,246,206,234,376,315,1631,626,1051,993,1910,2276,53050,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Waltera,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis
Sangeribacter muris,2921,1325,6683,4581,5956,3884,1652,2222,926,1343,1044,297,474,300,371,335,340,385,1411,202,523,110,48,254,209,262,94,599,148,405,460,443,84,292,255,1806,854,2546,1757,1496,3165,52462,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Sangeribacter,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sangeribacter;Sangeribacter muris
Shuttleworthia satelles,5605,5448,8137,7036,9823,1905,1111,1291,1161,1661,224,224,422,259,87,89,205,214,141,229,73,129,156,159,101,67,101,128,168,455,110,100,155,115,325,2206,215,270,207,262,669,51443,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Shuttleworthia,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia;Shuttleworthia satelles
Sporofaciens musculi,2264,1469,2145,2850,5354,2682,3280,2784,2233,3801,245,197,532,106,281,157,273,384,298,354,257,219,237,283,208,193,361,657,285,820,167,286,482,324,355,2707,707,1131,921,1705,2105,46099,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Sporofaciens,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Sporofaciens;Sporofaciens musculi
[Clostridium] hylemonae,2370,1946,2059,2501,2854,1516,2605,2156,2539,3551,175,282,618,335,421,295,319,379,406,429,199,277,332,498,393,364,389,508,454,1330,339,253,389,401,439,2002,1146,2192,1899,1780,2369,45709,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;[Clostridium] hylemonae
Lachnoclostridium phocaeense,1549,724,1031,1604,1294,772,789,704,897,1639,440,811,1733,933,839,209,246,318,165,99,250,258,652,959,911,835,710,821,564,1300,478,89,70,648,837,666,2313,6101,4863,968,2857,43946,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium phocaeense
